"","Sets","Train_R","Train_RMSE","Test_R","Test_RMSE"
"1","1",0.832119457426298,75.5117645472011,0.326708571727451,99.450942744289
"2","2",0.81370674726839,73.6834436404871,0.488374888905792,143.863571463123
"3","3",0.832967919156886,70.5502568775219,0.258162010364161,156.810798270811
"4","4",0.834148888745445,71.4085389645172,0.510061285605326,141.602316000636
"5","5",0.805415247288881,75.179809796567,0.51581307029667,143.693936211911
"6","Mean",0.82367165197718,73.2667627652589,0.41982396537988,137.084312938154
