"","Sets","Train_R","Train_RMSE","Test_R","Test_RMSE"
"1","1",0.800823198277745,80.7035116411391,0.297781183838301,151.408651921394
"2","2",0.765129739220411,84.1411257042691,0.478279806220779,149.29816893465
"3","3",0.773962983794914,91.4553482702257,0.488496919701888,90.8005785271225
"4","4",0.777867406844499,78.9350215744928,0.594647798654915,173.84976886668
"5","5",0.782642320997324,87.0069100257581,0.497759619515141,109.823884922756
"6","Mean",0.780085129826979,84.448383443177,0.471393065586205,135.036210634521
