"","Sets","Train_R","Train_RMSE","Test_R","Test_RMSE"
"1","1",0.740788385145084,86.0751507653854,0.129110357735496,169.813793584043
"2","2",0.768172475935872,85.7170559438695,0.281233932189228,129.190406970102
"3","3",0.765032450688648,83.0957225097876,0.319041416997273,132.12657481916
"4","4",0.742082017741469,84.9405835277991,0.371657807484566,138.756266109048
"5","5",0.745045321766169,80.3404176111288,0.307369800012001,169.438029201579
"6","Mean",0.752224130255448,84.0337860715941,0.281682662883713,147.865014136786
