"","Sets","Train_R","Train_RMSE","Test_R","Test_RMSE"
"1","1",0.922275969564845,162.470717759164,0.0693483819090966,220.810707210255
"2","2",0.937446509005184,376.893759376924,0.00475006975907295,620.446966103307
"3","3",0.948442233638571,250.083411639457,0.0420151681386927,243.738808918654
"4","4",0.946482286957764,475.380190111437,0.276487932629158,662.501927323435
"5","5",0.925398782671467,201.327958309169,0.0504616420165677,280.962284515192
"6","Mean",0.936009156367566,293.23120743923,0.0886126388905177,405.692138814168
