"","Sets","Train_R","Train_RMSE","Test_R","Test_RMSE"
"1","1",0.486920208449708,128.683052387964,0.229058369525153,131.529920722655
"2","2",0.480562345750226,121.818326711055,0.185897971896504,160.496546372404
"3","3",0.494426146700602,119.274206937031,0.00636930609319239,1345.48828216822
"4","4",0.478536243302998,121.683769178687,0.128468935620838,580.306095670681
"5","5",0.458124510413231,122.919800575017,0.109277034009727,190.119903239539
"6","Mean",0.479713890923353,122.875831157951,0.131814323429083,481.5881496347
