"","Sets","Train_R","Train_RMSE","Test_R","Test_RMSE"
"1","1",0.805468546668384,80.2609783826008,0.303356937870249,152.107895403381
"2","2",0.773221762550013,81.7732927599255,0.470459449418583,152.021996188399
"3","3",0.802906454785652,85.8831181735538,0.496862657959931,92.16281987628
"4","4",0.781883688195393,80.7282087135472,0.58684737185709,176.11680248304
"5","5",0.779472930265083,86.5571958773874,0.46093146267943,114.249841479483
"6","Mean",0.788590676492905,83.040558781403,0.463691575957057,137.331871086116
