"","Sets","Train_R","Train_RMSE","Test_R","Test_RMSE"
"1","1",0.816319710117071,77.8078057333339,0.33127770175466,99.638857010318
"2","2",0.824188659031888,73.0425905168784,0.51208877495583,139.264303449539
"3","3",0.842469355958736,68.760725185904,0.275103920881863,154.701346066173
"4","4",0.826355493128488,71.4957502434082,0.513798693688474,141.683691381201
"5","5",0.803128553249323,75.0343698423759,0.525062521948201,143.405678010182
"6","Mean",0.822492354297101,73.2282483043801,0.431466322645805,135.738775183483
