,Sets,Train_R,Train_RMSE,Test_R,Test_RMSE
1,1,0.763670183208354,83.0136268880457,0.16571388349806,170.007890604264
2,2,0.729944286870815,87.8378479794821,0.443040613587751,150.825938746368
3,3,0.757028295374187,90.4315238109707,0.290474652005563,99.8884157611465
4,4,0.77843367603692,76.7076969563213,0.155281250837433,202.571101781899
5,5,0.751399370999911,88.0631087148343,0.382688355950473,118.763853751789
6,Mean,0.756095162498037,85.2107608699308,0.287439751175856,148.411440129093
