"","Sets","Train_R","Train_RMSE","Test_R","Test_RMSE"
"1","1",0.777985948168855,85.0755728071755,0.357399509605417,139.082843332261
"2","2",0.795935196184372,82.5590464847752,0.438017442918266,119.235297089269
"3","3",0.811353922257325,79.8040714111759,0.266747397278618,133.547830887188
"4","4",0.79079762807864,82.3875756307133,0.54139586261648,141.462367944688
"5","5",0.765382596553209,80.6452921748238,0.549235374845226,157.882486876316
"6","Mean",0.78829105824848,82.0943117017327,0.430559117452801,138.242165225944
