"","Sets","Train_R","Train_RMSE","Test_R","Test_RMSE"
"1","1",0.448281908101675,127.441983726623,0.105477413057781,184.489415055205
"2","2",0.501708306757878,124.485579065847,0.412880319748263,113.69235956599
"3","3",0.490819434509562,124.969238429983,0.0100352301871497,153419513741494496
"4","4",0.472410969773913,124.189076688574,0.0325010585371089,2239.05603540617
"5","5",0.475976601563301,119.868838494811,0.140566206277971,196.46194802731
"6","Mean",0.477839444141266,124.190943281168,0.140292045561655,30683902748299444
