"","Sets","Train_R","Train_RMSE","Test_R","Test_RMSE"
"1","1",0.817318245105598,78.6949867906976,0.331960357463791,99.971106155386
"2","2",0.814510587965501,74.2769436782521,0.467743840092658,143.415699884257
"3","3",0.840886829846706,70.6109231397956,0.269073141873693,155.656892481755
"4","4",0.814316584491393,73.5058918724862,0.522509611652255,140.425937958979
"5","5",0.788968564368213,76.2817377966057,0.489068970006598,147.661004258952
"6","Mean",0.815200162355482,74.6740966555674,0.416071184217799,137.426128147866
