Sets;Train $R^2$;Train RMSE;Test $R^2$;Test RMSE
1;0,77;83,783;0,368;139,04
2;0,809;79,122;0,473;116,077
3;0,813;78,826;0,265;134,78
4;0,778;84,372;0,542;140,007
5;0,784;77,452;0,575;154,054
Mean;0,791;80,712;0,445;136,791
