Sets;Train $R^2$;Train RMSE;Test $R^2$;Test RMSE
1;0,741;86,075;0,129;169,814
2;0,768;85,717;0,281;129,19
3;0,765;83,096;0,319;132,127
4;0,742;84,941;0,372;138,756
5;0,745;80,34;0,307;169,438
Mean;0,752;84,034;0,282;147,865
