Sets;Train $R^2$;Train RMSE;Test $R^2$;Test RMSE
1;0,9223;162,471;0,069;220,811
2;0,937;376,894;0,005;620,447
3;0,9484;250,083;0,042;243,739
4;0,946;475,38;0,276;662,502
5;0,925;201,328;0,05;280,962
Mean;0,936;293,231;0,089;405,692
