"","Split1","Split2","Split3","Split4","Split5","model","time"
"1",157.490512419739,163.418329654093,161.609785183443,157.179146764683,150.726556942862,"1",0
"2",155.237498738595,159.597109571134,158.844456601263,155.314876105917,148.758708473347,"2",6.64646600405375
"3",123.925498097014,128.066416472855,126.992201122403,129.626543536403,122.69837266253,"3",8.19166167259216
"4",111.989923129844,111.392939301998,108.763914420386,110.528308879429,102.764895739628,"4",11.578668773969
"5",109.857198066651,109.428676420854,107.522709003906,106.663999236039,100.837975716608,"5",14.9120491973559
"6",110.324040444169,109.566536551738,108.679432171936,107.547308186264,101.328331276667,"6",16.827842083772
