"","Split1","Split2","Split3","Split4","Split5","model","time"
"1",0.1644370894479,0.414386038361125,0.268372659810261,0.170068299477997,0.144082209509983,0.001,0.316666666666667
"2",0.441669236942154,0.502168748138613,0.582823516198571,0.483016136725318,0.377883564635009,0.01,0.4
"3",0.661282161024797,0.742470202275207,0.728138906838604,0.68738689001866,0.698004669278576,0.1,1
"4",0.785241423961456,0.801154801682625,0.794306572846294,0.772916431032325,0.774809791090075,0.5,6.7
"5",0.794864778475754,0.827561174046836,0.829716215985935,0.805819818574225,0.802112633325784,1,22.65
"6",0.817787654543857,0.852335411336709,0.849721096696323,0.817344529425369,0.816114061329209,2,77.4
